Issue Type,Issue ID,Summary,Parent,Assignee,Story Points,Original Estimate,Sprint,Priority,Labels,Description
Sub-task,601,Implement anonymous PHQ-9 session submission and result flow,500,Member 1,,36000,MB Sprint 2,Highest,sprint2-screening,"## Objective

Connect the anonymous PHQ-9 UI to Care session, questionnaire, submission, and result APIs.

## Acceptance Criteria

- [ ] Session creation, nine-answer validation, submission, result reopening, and expiry behavior work.
- [ ] UI renders only server-returned score and policy fields.
- [ ] Anonymous credentials remain server-side and cannot be claimed by a later login.

## Definition of Done

- [ ] Component, route, and focused browser tests pass.
- [ ] Loading, validation, conflict, expiry, and unavailable states match the current UI system."
Sub-task,602,Implement authenticated PHQ-9 submission and result flow,500,Member 1,,32400,MB Sprint 2,Highest,sprint2-screening,"## Objective

Connect authenticated USER accounts to Care questionnaire, submission, and own-result APIs.

## Acceptance Criteria

- [ ] Session cookies are translated to downstream authorization only on the server.
- [ ] Submit, idempotent retry, result reopening, forbidden role, and expired login states work.
- [ ] No owner identifier is accepted from browser input.

## Definition of Done

- [ ] Route, component, and focused browser tests pass.
- [ ] Security review confirms subject ownership and server-only token handling."
Sub-task,603,Remove mock scoring hotline and add accessible PHQ-9 states,500,Member 1,,18000,MB Sprint 2,Highest,sprint2-safety,"## Objective

Remove unsafe frontend-owned behavior and align all new states with the current UI.

## Acceptance Criteria

- [ ] Browser scoring, hard-coded severity, mock recommendations, and obsolete hotline text are removed.
- [ ] Missing approved content displays explicit unavailable text.
- [ ] Keyboard, focus, labels, contrast, responsive layout, and reduced-motion behavior are preserved.

## Definition of Done

- [ ] Static search and component tests prove removed behavior is absent.
- [ ] Manual responsive and accessibility review is recorded."
Sub-task,604,Test anonymous and authenticated PHQ-9 frontend boundaries,500,Member 1,,10800,MB Sprint 2,High,sprint2-testing,"## Objective

Add focused regression coverage for both PHQ-9 frontend roles.

## Acceptance Criteria

- [ ] Tests cover valid flows, invalid answers, idempotent retry, forbidden role, anonymous expiry, and Care outage.
- [ ] Tests assert that score and safety fields come from Care responses.

## Definition of Done

- [ ] Focused Vitest and Playwright suites pass without skipped required cases.
- [ ] Test evidence is linked in the Story."
Sub-task,605,Define and implement own-assessment history API,501,Member 2,,36000,MB Sprint 2,Highest,sprint2-care,"## Objective

Add a server-owned paginated history API for the authenticated assessment owner.

## Acceptance Criteria

- [ ] OpenAPI defines stable cursor pagination, ordering, summaries, authorization, and errors.
- [ ] Runtime returns only the JWT subject's assessments and never accepts an owner ID.
- [ ] PostgreSQL tests cover ordering, pagination, empty history, forged access, and result consistency.

## Definition of Done

- [ ] OpenAPI validation and Care focused tests pass.
- [ ] Data dictionary and README are updated for any persistence change."
Sub-task,606,Integrate Care profile and consent UI,501,Member 2,,28800,MB Sprint 2,Highest,sprint2-consent,"## Objective

Connect authenticated profile and consent screens to the completed Care runtime.

## Acceptance Criteria

- [ ] Users can view and update their profile with conflict handling.
- [ ] Independent consent grant and revocation use versioned text and idempotency.
- [ ] Unsupported roles, invalid input, conflict, and service outage are explicit.

## Definition of Done

- [ ] Route and component tests pass.
- [ ] UI follows the existing theme and does not imply consent grants broad specialist access."
Sub-task,607,Integrate assessment history result reopening and reassessment UI,501,Member 2,,25200,MB Sprint 2,High,sprint2-care,"## Objective

Replace mock assessment history with Care-owned records and a new-assessment entry point.

## Acceptance Criteria

- [ ] History uses stable pagination and shows only approved result summaries.
- [ ] Result reopening enforces ownership.
- [ ] Reassessment creates a new immutable submission.

## Definition of Done

- [ ] Route, component, and focused browser tests pass.
- [ ] UI follows existing dashboard patterns and handles empty and unavailable states."
Sub-task,608,Run Care profile consent history regression suite,501,Member 2,,10800,MB Sprint 2,High,sprint2-testing,"## Objective

Prove the combined Care changes preserve existing PHQ-9 safety and ownership behavior.

## Acceptance Criteria

- [ ] Tests cover profile conflicts, consent history/idempotency, assessment pagination, cross-user denial, and anonymous isolation.
- [ ] Existing scoring and item-9 tests remain unchanged and passing.

## Definition of Done

- [ ] Focused unit, contract, and PostgreSQL integration suites pass with no required case skipped.
- [ ] Commands and results are linked in the Story."
Sub-task,609,Define MVP target cohort and screening terminology,502,Member 3,,18000,MB Sprint 2,Highest,sprint2-review1,"## Objective

Record the product eligibility boundary and the vocabulary used for screening results.

## Acceptance Criteria

- [ ] The 18–30 Vietnam cohort has documented product rationale, included users, unsupported cases, and expansion boundary.
- [ ] Age 30 is explicitly not represented as a medical cutoff.
- [ ] Approved and prohibited terms distinguish screening, diagnosis, symptom level, treatment, and outcome.

## Definition of Done

- [ ] Product owner and supervisor/mentor decisions are recorded with version and date.
- [ ] Domain and result-page wording requirements are updated consistently."
Sub-task,610,Approve PHQ-9 and GAD-7 provenance and publication gates,502,Member 3,,25200,MB Sprint 2,Highest,sprint2-provenance,"## Objective

Create an auditable instrument register for the exact PHQ-9 and GAD-7 variants proposed for Vietnamese users.

## Acceptance Criteria

- [ ] Each instrument records source, exact version/wording, response labels, locale, validated population, known limitations, publication rights, and reviewer.
- [ ] Scoring versions and non-diagnostic disclaimer requirements are explicit.
- [ ] GAD-7 publication remains disabled when any required evidence or approval is missing.

## Definition of Done

- [ ] Product, supervisor/mentor, and domain-expert approval states are recorded.
- [ ] Policy, questionnaire reference-data plan, and Jira evidence agree."
Sub-task,611,Define severity safety support and entitlement routing matrix,502,Member 3,,28800,MB Sprint 2,Highest,sprint2-routing,"## Objective

Define a deterministic and reviewable route from screening evidence to platform support without turning scores into diagnoses or mandatory treatment.

## Acceptance Criteria

- [ ] screeningLevel, safetyStatus, supportTier, supportActions, and entitlementPlan remain separate decision dimensions.
- [ ] Missing, stale, conflicting, and unavailable instrument cases are covered.
- [ ] PHQ-9 item-9 positivity remains independent from total-score bands and does not infer intent or urgency.
- [ ] Every initial support action has source, locale, version, eligibility, reviewer, and fallback behavior.

## Definition of Done

- [ ] Decision-table examples cover every boundary and item-9 combination required for review.
- [ ] Domain-expert approval is recorded or the matrix remains explicitly non-executable."
Sub-task,612,Define specialist recommendation handoff and scoped consent,502,Member 3,,21600,MB Sprint 2,Highest,sprint2-specialist,"## Objective

Define when professional support becomes relevant and how a user may enter a future specialist journey safely.

## Acceptance Criteria

- [ ] The flow defines user-visible recommendation, voluntary choice, entitlement/availability checks, and unavailable-runtime fallback.
- [ ] Specialist access requires a separate revocable grant scoped by specialist, data type, purpose, time range, and selected records where applicable.
- [ ] No score automatically books, notifies, or shares data with a specialist.
- [ ] The flow makes no guaranteed response, 24/7 monitoring, or emergency-dispatch claim.

## Definition of Done

- [ ] Care, Consultation, Realtime, and Content/Notification ownership boundaries are reviewed.
- [ ] Runtime deferral and future contract dependencies are linked in Jira."
Sub-task,620,Define follow-up cadence entry exit and reassessment rules,502,Member 3,,18000,MB Sprint 2,Highest,sprint2-followup,"## Objective

Define the product follow-up lifecycle without copying treatment-specific clinical schedules into a self-screening platform.

## Acceptance Criteria

- [ ] Entry, exit, reminder eligibility, user opt-out, reassessment trigger, stale/missing data, and continue/adapt/escalate wording are defined.
- [ ] Cadence ownership and timezone behavior are explicit.
- [ ] Specialist-led clinical follow-up is distinguished from platform reminders and self-screening availability.
- [ ] No reminder or operating-hours field implies continuous monitoring or guaranteed response.

## Definition of Done

- [ ] Product and domain review states are recorded.
- [ ] Future Care and Content/Notification contract/runtime dependencies are linked in Jira."
Sub-task,621,Define descriptive progress rules and Review 1 closure evidence,502,Member 3,,14400,MB Sprint 2,Highest,sprint2-progress,"## Objective

Define safe longitudinal comparison and prove how every Review 1 concern was dispositioned.

## Acceptance Criteria

- [ ] Progress fields cover baseline, current score, absolute delta, screening-level transition, interval, instrument/version compatibility, and insufficient data.
- [ ] Wording remains descriptive and does not claim diagnosis, treatment response, causation, recovery, or deterioration without an approved basis.
- [ ] Any clinically meaningful-change threshold records its source, applicable population, reviewer, and approval state before use.
- [ ] The closure matrix maps feedback to decision, artifact, evidence, owner, approval, runtime status, and deferred Jira issue.

## Definition of Done

- [ ] Mentor-facing flow and closure matrix are reviewed.
- [ ] Domain, coverage, policy, and traceability documents use consistent status and terminology."
Sub-task,613,Add Content resource BFF and typed client,503,Member 5,,21600,MB Sprint 2,High,sprint2-content,"## Objective

Create the frontend server-side boundary for published health resources.

## Acceptance Criteria

- [ ] Only supported public or authenticated resource operations are exposed.
- [ ] Malformed, empty, timeout, and unavailable responses map to stable UI states.
- [ ] No removed hotline endpoint or data model is recreated.

## Definition of Done

- [ ] Route and client tests pass.
- [ ] Lint, typecheck, unit tests, and build pass."
Sub-task,614,Render reviewed resources in screening result experience,503,Member 5,,25200,MB Sprint 2,High,sprint2-content,"## Objective

Render backend-owned reviewed resources after a screening result without presenting them as diagnosis or guaranteed care.

## Acceptance Criteria

- [ ] Only published resource fields returned by Content/Notification are rendered.
- [ ] Anonymous and authenticated users receive the allowed common result resources.
- [ ] Future subscription or consultation actions are labelled unavailable when not implemented.
- [ ] UI follows the current result-page theme and accessibility patterns.

## Definition of Done

- [ ] Component and route tests pass.
- [ ] Safety copy and responsive layout receive manual review."
Sub-task,615,Implement neutral resource empty and unavailable fallback,503,Member 5,,10800,MB Sprint 2,Highest,sprint2-safety,"## Objective

Prevent resource failures from being mistaken for clinical guidance or successful service delivery.

## Acceptance Criteria

- [ ] Empty, unavailable, malformed, and timeout states use explicit neutral fallback text.
- [ ] Copy makes no emergency dispatch, monitoring, notification, or response-time guarantee.
- [ ] No hotline number appears.

## Definition of Done

- [ ] Safety-copy review and component tests pass.
- [ ] Static search confirms obsolete hotline content is absent."
Sub-task,616,Test resource publication and fallback boundaries,503,Member 5,,14400,MB Sprint 2,High,sprint2-testing,"## Objective

Verify published-resource filtering and every result-page fallback.

## Acceptance Criteria

- [ ] Tests cover published, unpublished, empty, unavailable, malformed, and unauthorized responses.
- [ ] Tests reject invented local guidance and removed hotline behavior.

## Definition of Done

- [ ] Focused contract, route, and component tests pass without skipped required cases.
- [ ] Evidence is linked in the Story."
Sub-task,617,Automate anonymous and authenticated Sprint 2 journeys,504,Member 5,,28800,MB Sprint 2,Highest,sprint2-e2e,"## Objective

Automate the committed Sprint 2 user journeys across service boundaries.

## Acceptance Criteria

- [ ] Anonymous PHQ-9 through result and resource fallback is covered.
- [ ] Authenticated profile, consent, PHQ-9, history, reassessment, and reviewed-resource behavior are covered.
- [ ] Deterministic fixtures avoid production personal or clinical data.

## Definition of Done

- [ ] Required Playwright journeys pass from documented commands.
- [ ] Failures retain useful correlation evidence without secrets."
Sub-task,618,Run cross-service security and degradation regression,504,Member 5,,14400,MB Sprint 2,Highest,sprint2-security,"## Objective

Validate fail-closed authorization and truthful degradation behavior.

## Acceptance Criteria

- [ ] Cross-user Care requests fail closed.
- [ ] Expired sessions, Care outage, and Content/Notification outage show explicit states.
- [ ] No flow claims monitoring, notification, emergency dispatch, or unavailable paid functionality.

## Definition of Done

- [ ] Regression suites pass and required failures are reproducible.
- [ ] Security and safety findings are linked and resolved or accepted below High severity."
Sub-task,619,Publish Sprint 2 runbook traceability and evidence,504,Member 5,,10800,MB Sprint 2,High,sprint2-docs,"## Objective

Make the integrated slice and Review 1 closure package reproducible while distinguishing approved definitions from implemented runtime.

## Acceptance Criteria

- [ ] Startup, migration, test, and E2E commands are current.
- [ ] Requirements traceability, sprint status, policies, and service READMEs match implemented behavior and approval status.
- [ ] Review 1 target-cohort, instrument, terminology, routing, specialist, follow-up, and progress artifacts are linked.
- [ ] Deferred GAD-7, consultation, specialist, follow-up/progress, journal-frontend, and AI runtime remain distinct from definition-complete work with approval gates.

## Definition of Done

- [ ] Documentation review passes.
- [ ] Jira, test evidence, and pull-request links are complete."
